PSTRANA,NAZEV_STRP,ZKRATKAP30,ZKRATKAP8
1,Křesťan.a demokrat.unie-Českosl.strana lidová,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
2,Česká strana národně sociální,Česká strana národně sociální,ČSNS
4,Liberálně demokratická strana,Liberálně demokratická strana,LDS
5,Strana zelených,Strana zelených,SZ
7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD
8,Podnikatelsko živnostenská strana,Podnikatelsko živnosten.strana,PŽS
9,Nezávislá iniciativa (NEI),Nezávislá iniciativa (NEI),NEI
10,Československá strana Humanistické internacionály,Čs.str.Humanist.internacionály,ČSHI
13,Občanská demokratická aliance,Občanská demokratická aliance,ODA
16,Organizace nezávislých Rumunů,Organizace nezávislých Rumunů,ONR
17,Hnutí zemědělců,Hnutí zemědělců,HZ
21,Republikán.str.zemědělského a malorolnického lidu,Rep.str.zeměd.a maloroln.lidu,RSZML
24,Konzervativní strana,Konzervativní strana,KONS
26,Demokratická unie zdraví a sportu,Demokrat.unie zdraví a sportu,DUZS
28,Demokratická strana Československa,Demokratická strana Českoslov.,DSČ
29,Strana svobodných demokratů,Strana svobodných demokratů,SSD
30,Permanentní opozicí za demokracii,Permanentní opozicí za demokr.,POZD
31,Strana evropského domu,Strana evropského domu,SED
33,Občanská společenská aktivita,Občanská společenská aktivita,OSA
37,Strana demokratické levice,Strana demokratické levice,SDL
38,Strana obrany kultury,Strana obrany kultury,SOK
40,Klub angažovaných nestraníků,Klub angažovaných nestraníků,KAN
46,Moravská národní strana,Moravská národní strana,MNS
47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM
50,Politická strana žen a matek Československa,Politická str.žen a matek Čsl.,PSŽM
51,Národně demokratická strana,Národně demokratická strana,NDS
53,Občanská demokratická strana,Občanská demokratická strana,ODS
55,"Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),KČ
68,Masarykova demokratická strana,Masarykova demokratická strana,MDS
72,COEXISTENTIA,COEXISTENTIA,COEX
74,Strana demokratického socialismu,Strana demokrat.socialismu,SDS
