IDOKRESU,OKRES
1100,Hlavní město Praha
2101,Benešov
2102,Beroun
2103,Kladno
2104,Kolín
2105,Kutná Hora
2106,Mělník
2107,Mladá Boleslav
2108,Nymburk
2109,Praha-východ
2110,Praha-západ
2111,Příbram
2112,Rakovník
3101,České Budějovice
3102,Český Krumlov
3103,Jindřichův Hradec
3104,Písek
3105,Prachatice
3106,Strakonice
3107,Tábor
3201,Domažlice
3202,Klatovy
3203,Plzeň-město
3204,Plzeň-jih
3205,Plzeň-sever
3206,Rokycany
3207,Tachov
4101,Cheb
4102,Karlovy Vary
4103,Sokolov
4201,Děčín
4202,Chomutov
4203,Litoměřice
4204,Louny
4205,Most
4206,Teplice
4207,Ústí nad Labem
5101,Česká Lípa
5102,Jablonec nad Nisou
5103,Liberec
5104,Semily
5201,Hradec Králové
5202,Jičín
5203,Náchod
5204,Rychnov nad Kněžnou
5205,Trutnov
5301,Chrudim
5302,Pardubice
5303,Svitavy
5304,Ústí nad Orlicí
6101,Havlíčkův Brod
6102,Jihlava
6103,Pelhřimov
6104,Třebíč
6105,Žďár nad Sázavou
6201,Blansko
6202,Brno-město
6203,Brno-venkov
6204,Břeclav
6205,Hodonín
6206,Vyškov
6207,Znojmo
7101,Jeseník
7102,Olomouc
7103,Prostějov
7104,Přerov
7105,Šumperk
7201,Kroměříž
7202,Uherské Hradiště
7203,Vsetín
7204,Zlín
8101,Bruntál
8102,Frýdek-Místek
8103,Karviná
8104,Nový Jičín
8105,Opava
8106,Ostrava-město
