"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MARTIN STANĚK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","36","0%","0%",801
"KAMIL ŠÍSTEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","39","0%","0%",802
"ING. MILAN POSPÍŠIL, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","33","0%","100%",803
"DOMINIK DRAČKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","40","0%","0%",804
"FRANTIŠEK FAGULEC, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","37","0%","0%",805
"MARIE PULCOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","59","100%","0%",806
"JINDŘIŠKA BURIÁNKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","62","100%","0%",807
"LADISLAV VONDÁL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","53","0%","0%",808
"JAROSLAV STANĚK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","53","0%","0%",809
"ING. MICHAL KONEČNÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","30","0%","100%",810
