"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"DOMOV","1/15","26","100%","0%","0",0,155
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","52,2","20%","20%","9",0,53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","46,9","33%","13%","0",0,7
"PRO PRAHU","15/15","40,7","27%","20%","0",2,791
"SDRUŽENÍ PRO LIPENCE, SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ","15/15","44,3","33%","80%","6",1,901
