"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"LUDVÍK EFLER, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","47","0%","0%",801
"PETR PETRIČKO NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","68","0%","0%",802
"PETR LISSEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","38","0%","0%",803
"LUKÁŠ TOMEŠKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","31","0%","0%",804
"RADKA KUČEROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","100%","0%",805
"HANA KUČEROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","42","100%","0%",806
"HANA KUČEROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","55","100%","0%",807
"MILOSLAV HOLBÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","50","0%","0%",808
"LUCIE ŠANCOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","36","100%","0%",809
"ONDŘEJ ŠANC, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","35","0%","0%",810
