"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JIŘÍ SÝKORA","1/7","0",0,"0","31","0%","0%",801
"MICHAL MAREK","1/7","0",0,"0","38","0%","0%",802
"JIŘÍ JANOUŠ","1/7","0",0,"0","34","0%","0%",803
"ING. TOMÁŠ HERRMAN, PH.D.","1/7","0",1,"0","33","0%","100%",804
"HANA MARKOVÁ","1/7","0",1,"0","36","100%","0%",805
"JAN KOUDELKA","1/7","0",1,"0","74","0%","0%",806
"ZDENĚK DANĚK","1/7","0",0,"0","59","0%","0%",807
"PETR BABÁK","1/7","0",0,"0","38","0%","0%",808
"MARIE ŠENKÝŘOVÁ","1/7","0",1,"0","63","100%","0%",809
"BOHUSLAV MAREK","1/7","0",1,"0","61","0%","0%",810
