"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","5/9","0",0,"4","31,2","20%","0%",7
"ING. JOSEF CHUDOBA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","71","0%","100%",801
"MGR. JITKA JENČOVSKÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","53","100%","100%",802
"VÁCLAV LUŠTICKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","58","0%","0%",803
"MICHAL POUR, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","27","0%","0%",804
"BORIS ULRYCH, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","43","0%","0%",805
"ZDENĚK ULRICH, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","42","0%","0%",806
"JAROMÍR CHUDOBA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","56","0%","0%",807
"PAVEL MAKOVEC, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","24","0%","0%",808
"PATRIK BAJER, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","0%","0%",809
"FRANTIŠEK KLOUTVOR, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",810
