"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAVA BOUDOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","56","100%","0%",801
"JOSEF BAŠTA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","49","0%","0%",802
"VÁCLAV HLAVANIČ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","54","0%","0%",803
"ZDENĚK HODEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","57","0%","0%",804
"PETR HŮRKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","49","0%","0%",805
"PAVLA KOHOUTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","27","100%","0%",806
"JAROSLAV MALOTA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","47","0%","0%",807
"RADEK PŘIBÁŇ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","45","0%","0%",808
"MARTIN ŠERTL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","43","0%","0%",809
"LENKA ŠERTLOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","100%","0%",810
"KAREL ŠRÁMEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","69","0%","0%",811
"VLADIMÍR TOLAR, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","100%",812
"LUBOŠ TŘÍSKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","33","0%","0%",813
"TOMÁŠ URBAN, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",814
"MARIE URBANOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","45","100%","0%",815
"JIŘÍ ŽEŽULKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","36","0%","0%",816
"JANA WOHLMUTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","61","100%","0%",817
"JAN BAUMRUK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","46","0%","0%",818
