"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"VÁCLAV BLAŽEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","54","0%","0%",801
"ROBERT ČAPEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",802
"PAVEL PAVLÍČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","44","0%","0%",803
"KAREL ŠOBR, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","68","0%","0%",804
"ING. VÁCLAV KOTÁL, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","65","0%","100%",805
"FRANTIŠEK BLAŽEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","58","0%","0%",806
"PETR PAVLÍČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","47","0%","0%",807
"LIBUŠE KOTÁLOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","60","100%","0%",808
"JAROSLAV KLŮS, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","22","0%","0%",809
"ING. VÍT NOVOTNÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","63","0%","100%",810
