"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAKUB DONÁT","1/7","0",0,"0","30","0%","0%",801
"JAN NOVÁK","1/7","0",0,"0","26","0%","0%",802
"JIŘÍ ŠVADLENKA","1/7","1",0,"0","32","0%","0%",803
"JITKA KLAUDOVÁ","1/7","0",1,"0","38","100%","0%",804
"JOSEF KŘIVSKÝ (NEZÁVISLÝ KANDIDÁT)","1/7","0",0,"0","35","0%","0%",805
"MARCEL MICHEK","1/7","0",0,"0","40","0%","0%",806
"MAREK LINHART, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","0%",807
"PAVEL NOVÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","37","0%","0%",808
"PETR KOS","1/7","1",0,"0","38","0%","0%",809
"SECKÝ JOSEF NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","0%","0%",810
