"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV LIBRA","1/9","0",0,"0","27","0%","0%",801
"JOSEF JAMBOR","1/9","0",1,"0","53","0%","0%",802
"MGR. BLANKA HAVLÍČKOVÁ","1/9","0",0,"0","33","100%","100%",803
"JIŘÍ HAVLÍČEK","1/9","0",1,"0","35","0%","0%",804
"LUKÁŠ JINEK","1/9","0",0,"0","22","0%","0%",805
"JIŘÍ HUMLÍČEK","1/9","0",1,"0","52","0%","0%",806
"TOMÁŠ JURÁNEK","1/9","0",1,"0","37","0%","0%",807
"PAVEL KAŠTÁNEK","1/9","0",0,"0","33","0%","0%",808
"ZDENĚK SKALNÍK","1/9","0",1,"0","35","0%","0%",809
"ING. ONDŘEJ SVOBODA","1/9","0",0,"0","28","0%","100%",810
"LUDMILA NOVOTNÁ","1/9","0",0,"0","42","100%","0%",811
"BC. JAN LUKEŠ, DIS.","1/9","0",0,"0","32","0%","100%",812
