"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JIŘÍ MAUTNER, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","52","0%","0%",801
"JOSEF HOSNEDL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","56","0%","0%",802
"ING. MARTA NETRVALOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","28","100%","100%",803
"JIŘÍ JANEČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",804
"JIŘÍ JANEČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","29","0%","0%",805
"JAROSLAV JAROŠ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","41","0%","0%",806
"MIROSLAV KLÍMA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","54","0%","0%",807
"ONDŘEJ KLÍMA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","29","0%","0%",808
"JOSEF WALDMANN, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","53","0%","0%",809
"ING. PETR JANEČEK, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","26","0%","100%",810
"LUBOŠ FRANČÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","40","0%","0%",811
"MILAN MATOUŠ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","44","0%","100%",812
