"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ALENA LIŠKOVÁ","1/6","0",0,"0","40","100%","0%",801
"ING. JAN FRIEDL","1/6","0",0,"0","31","0%","100%",802
"ROSTISLAV NOVÁK","1/6","1",0,"0","54","0%","0%",803
"PAVEL HÄUSL","1/6","1",0,"0","44","0%","0%",804
"ING. MARTA ŠAFAŘÍKOVÁ","1/6","1",0,"0","46","100%","100%",805
"JAROSLAV ŠPLÍCHAL","1/6","0",0,"0","66","0%","0%",806
"JANA BAKEŠOVÁ","1/6","1",0,"0","33","100%","0%",807
"HANA MORÁVKOVÁ","1/6","1",0,"0","47","100%","0%",808
"LIBOR HORÁČEK","1/6","0",0,"0","51","0%","0%",809
"ROMANA VÁVROVÁ","1/6","0",0,"0","40","100%","0%",810
"TÁBORSKÝ PAVEL","1/6","0",0,"0","65","0%","0%",811
