"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JOSEF TOPINKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","51","0%","0%",801
"PAVEL VORÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","53","0%","0%",802
"JAROSLAV PETRÁŠ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","0%",803
"JAROSLAV HOVORKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","22","0%","0%",804
"PETR ŠKRLETA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","39","0%","0%",805
"DANIEL VALISKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","0%","0%",806
"VÁCLAV HOLAKOVSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","46","0%","0%",807
"VÁCLAV SLANEC, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","53","0%","0%",808
"PETR KUKLA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",809
"MILOSLAV BEDNÁŘ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","43","0%","0%",810
