"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILAN BLÁHA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","0%","0%",801
"DANIELA BLAŽKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","54","100%","0%",802
"KATEŘINA DONTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","100%","0%",803
"RADEK FEJFAR, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","37","0%","0%",804
"BOHUMIL HOLEČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","62","0%","0%",805
"RENATA HRDLIČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","46","100%","0%",806
"ING. VLASTIMIL KRAUS, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","47","0%","0%",807
"KATEŘINA NOVÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","41","100%","0%",808
"BOHUMÍR PODZIMEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","0%","0%",809
"PAVEL STOPA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","0%","0%",810
"TOMÁŠ STRÁNSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","0%",811
"ROMAN SVOBODA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","0%",812
"ALENA ŠPŮROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","25","100%","0%",813
"JITKA VOJTÍŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","100%","0%",814
