"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"PAVEL MRÁZ","1/7","0",1,"0","53","0%","0%",801
"VÁCLAV KŘIVÁČEK","1/7","0",1,"0","41","0%","0%",802
"FRANTIŠEK KOMRSKA","1/7","0",1,"0","45","0%","0%",803
"VÁCLAV DOLÍŠKA","1/7","0",1,"0","42","0%","0%",804
"PAVEL MARŠOUN","1/7","0",1,"0","58","0%","0%",805
"FRANTIŠEK REJŠEK","1/7","0",1,"0","38","0%","0%",806
"JIŘÍ RYCHTÁŘ","1/7","0",1,"0","40","0%","0%",807
"JOSEF HOLÝ","1/7","0",1,"0","55","0%","0%",808
"PETR HANZLÍK","1/7","0",0,"0","41","0%","0%",809
"JAROSLAV RYCHTÁŘ","1/7","0",1,"0","45","0%","0%",810
