"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JAN TOMAN, NEZÁVISLÝ KANDIDÁT","1/7","33","0%","0%","1",0,801
"VÁCLAV MYŠÁK, NEZÁVISLÝ KANDIDÁT","1/7","58","0%","0%","1",0,802
"OLGA ŠEJNOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","46","100%","0%","1",0,803
"ING. PAVEL BÁRTÍK, NEZÁVISLÝ KANDIDÁT","1/7","42","0%","100%","1",0,804
"SIMONA CARVANOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","40","100%","0%","1",0,805
"VĚRA KOUBOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","59","100%","0%","0",0,806
"JIŘÍ WEBER, NEZÁVISLÝ KANDIDÁT","1/7","46","0%","0%","0",0,807
"VENDULA KUKLOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","35","100%","0%","1",0,808
"JIŘÍ POLENO, NEZÁVISLÝ KANDIDÁT","1/7","46","0%","0%","1",0,809
"LENKA NEUŽILOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","27","100%","0%","0",0,810
"FRANTIŠEK PILOUŠEK, NEZÁVISLÝ KANDIDÁT","1/7","44","0%","0%","0",0,811
"MICHAELA PÍCHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","36","100%","0%","0",0,812
"ING. ANNA PÍCHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","36","100%","100%","0",0,813
"JAN PIKL, NEZÁVISLÝ KANDIDÁT","1/7","32","0%","0%","0",0,814
"ŠÁRKA PIKLOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","22","100%","0%","0",0,815
