"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MIROSLAV PELTRAM, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","33","0%","0%",801
"DAVID SRB, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","36","0%","0%",802
"JANA STŘÍŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","65","100%","0%",803
"BC. BARBORA DUBCOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","23","100%","100%",804
"JOSEF KRAJNÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","49","0%","0%",805
"ING. PETR PÁNEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","47","0%","100%",806
"MGR. ILONA JIŘIČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","52","100%","100%",807
"PETR ULRICH, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","43","0%","0%",808
"LUKÁŠ GÁDOCI, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","23","0%","0%",809
"ING. MARTIN SVOBODA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","28","0%","100%",810
