"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"HANA SECKÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","30","100%","0%",801
"JAROSLAV KOLÁŘ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","72","0%","0%",802
"JAROSLAV ZDRAŽIL, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","70","0%","0%",803
"JIŘÍ PECINA, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","67","0%","0%",804
"MARTIN STRAŠEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","46","0%","0%",805
"MGR. MIROSLAV KOMBEREC, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","100%",806
"MILOŠ ČAPEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","55","0%","0%",807
"MIROSLAV KOMBEREC, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","63","0%","0%",808
"PAVEL BAREŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","39","0%","0%",809
"ZDEŇKA JENÍČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","40","100%","0%",810
"DAVID HEJN, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",811
"BC. TOMÁŠ HAVEL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","0%","100%",812
