"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","1/7","0",0,"0","20","0%","0%",1
"PETR HAJKR, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","0%","0%",801
"MIROSLAV KÝR, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","52","0%","0%",802
"SIMONA HAJKROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","20","100%","0%",803
"PAVEL HUDEČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","36","0%","0%",804
"MARCELA HAJKROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","100%","0%",805
"MGR. BC. JAROMÍR MIKULKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","100%",806
"ZDENĚK HUDEČEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","0%","0%",807
"ZDENĚK KOUTNÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","45","0%","0%",808
"ALENA JEDLIČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","100%","0%",809
"JOSEF ČAPKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","44","0%","0%",810
"MIROSLAV SEITLER, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","63","0%","0%",811
"ING. RUDOLF GUZIK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","100%",812
"JIŘÍ SVOBODA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","43","0%","0%",813
