"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","6/9","4",0,"2","40,5","33%","17%",1
"STRANA SVOBODNÝCH OBČANŮ","4/9","0",0,"0","51,5","50%","25%",714
"JIŘÍ ROSYPAL, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","56","0%","0%",801
"MAGDALENA DOLEŽALOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","36","100%","0%",802
"VOJTĚCH FALTYS, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","61","0%","0%",803
"ING. ARCH. RADIM BÁRTA, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","56","0%","100%",804
"ŽANETA ŠMEJDOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","100%","0%",805
"HANA PECHANCOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","34","100%","0%",806
"VLASTIMIL VOSTŘEL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","40","0%","0%",807
"FRANTIŠEK BARTOŠ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",808
"ALENA PŘIKRYLOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","51","100%","0%",809
