"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAN POSPÍŠIL","1/7","0",0,"0","62","0%","0%",801
"LADISLAVA DVOŘÁKOVÁ","1/7","0",0,"0","41","100%","0%",802
"LUDĚK NOVOTNÝ","1/7","0",1,"0","42","0%","0%",803
"NIKOL NOVOTNÁ","1/7","0",0,"0","22","100%","0%",804
"ZDENĚK HALÁMKA","1/7","0",1,"0","53","0%","0%",805
"SLAVOMÍR POSPÍŠIL","1/7","0",1,"0","46","0%","0%",806
"MILOŠ SLÁMA","1/7","0",1,"0","45","0%","0%",807
"ING. DANA KONEČNÁ","1/7","0",0,"0","53","100%","100%",808
"MONIKA JANDÍKOVÁ","1/7","0",0,"0","31","100%","0%",809
"VOJTĚCH ADOLF","1/7","0",0,"0","21","0%","0%",810
"LUKÁŠ KREJČÍ","1/7","0",0,"0","28","0%","0%",811
"JAN KLEPÁRNÍK","1/7","0",0,"0","26","0%","0%",812
"MILAN SMETANA","1/7","0",1,"0","59","0%","0%",813
