"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"DITA MAŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","43","100%","0%",801
"DAGMAR TOMÁŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","100%","0%",802
"DANA SVATÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","61","100%","0%",803
"MIROSLAV ŠOLC, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","51","0%","0%",804
"MILAN NOVOTNÝ ML., NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","25","0%","0%",805
"MILAN NOVOTNÝ ST., NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","47","0%","0%",806
"LENKA KOŇÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","100%","0%",807
"TOMÁŠ CHLAD, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","0%","0%",808
"ONDŘEJ HÁTLE, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","23","0%","0%",809
"LUBOŠ HÁTLE, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","54","0%","0%",810
"MARTIN FRÝDL, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","43","0%","0%",811
"EVA ERSEPKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","56","100%","0%",812
