"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAN HLADÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","48","0%","0%",801
"ZDENĚK KAUER, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","54","0%","0%",802
"VLADISLAV SEDLÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","52","0%","0%",803
"MIROSLAV SUŠICKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","50","0%","0%",804
"JAROSLAV ŠLACHTA, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","60","0%","0%",805
"JIŘÍ ŠMÍDL, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","0%","0%",806
"STANISLAV TAUSCHER, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",807
"KATEŘINA TOMÁŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","65","100%","0%",808
"ING. JIŘÍ VELÍŠEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","44","0%","100%",809
"JIŘÍ VOGELTANZ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","50","0%","0%",810
"ING. JAN PERNIKL, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","58","0%","100%",811
