"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MIROSLAV STRNAD","1/5","0",1,"0","56","0%","0%",801
"EVA PAŘÍZKOVÁ","1/5","0",0,"0","56","100%","0%",802
"PETR HVÍZDAL","1/5","0",1,"0","26","0%","0%",803
"JIŘÍ VEMOLA","1/5","0",0,"0","37","0%","0%",804
"FRANTIŠEK POSPÍŠIL","1/5","0",1,"0","67","0%","0%",805
"LUBOMÍR NAVRÁTIL","1/5","0",1,"0","51","0%","0%",806
"VĚRA FIALOVÁ","1/5","0",0,"0","45","100%","0%",807
"MIROSLAV HÉDL","1/5","0",1,"0","36","0%","0%",808
"SIMONA VANĚČKOVÁ","1/5","0",0,"0","28","100%","0%",809
"TEREZA PLOCKOVÁ","1/5","0",0,"0","26","100%","0%",810
"JOSEF ODEHNAL","1/5","0",1,"0","44","0%","0%",811
