"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MGR. JAN KRAMÁŘ","1/7","0",1,"0","43","0%","100%",801
"VÁCLAV MELŠA","1/7","0",0,"0","45","0%","0%",802
"PETR VAŘEČKA","1/7","0",1,"0","43","0%","0%",803
"PETR HORKÝ","1/7","0",0,"0","29","0%","0%",804
"PAVEL PATOČKA","1/7","0",0,"0","34","0%","0%",805
"TOMÁŠ BÍŽA","1/7","0",1,"0","30","0%","0%",806
"JAROSLAV HAVRÁNEK","1/7","0",0,"0","38","0%","0%",807
"JIŘÍ DASTYCH","1/7","0",0,"0","44","0%","0%",808
"ING. JIŘÍ VANÍČEK","1/7","0",1,"0","50","0%","100%",809
"JANA KRÁLOVÁ","1/7","0",1,"0","54","100%","0%",810
"ING. BŘETISLAV VAŘEČKA","1/7","0",1,"0","50","0%","100%",811
"JAROMÍR VOJÁČEK","1/7","0",1,"0","59","0%","0%",812
"ING. VLADIMÍR MICHÁLEK","1/7","0",1,"0","47","0%","100%",813
"ALENA ŠINDELÁŘOVÁ","1/7","0",1,"0","70","100%","0%",814
"LIBOR HOŠEK","1/7","0",0,"0","44","0%","0%",815
"JOSEF HRDÝ","1/7","0",0,"0","40","0%","0%",816
