"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MGR. MACIEJ KUCHARSKI CSC., NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","72","0%","100%",801
"PAVEL BARTÁK, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","44","0%","0%",802
"BARBORA TICHÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","22","100%","0%",803
"LADISLAV HOVORKA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","38","0%","0%",804
"ROMAN ŘEPÁSEK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","32","0%","0%",805
"JAN PILLVEIN, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",806
"ZUZANA BABINSKÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","100%","0%",807
"ZDENĚK REZEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",808
"JITKA HÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","35","100%","0%",809
"JAN ŠÍMA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","37","0%","0%",810
"JIŘÍ STRACHOTA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","29","0%","0%",811
"FRANTIŠEK SOBOTKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","48","0%","0%",812
"ING. ONDŘEJ HRADEČNÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","52","0%","100%",813
"ZDENĚK ŠAŠEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","51","0%","0%",814
"JAN ŠPAČEK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","66","0%","100%",815
"MILOSLAV POTŮČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","54","0%","0%",816
