"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"DAVID SKÁLA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","33","0%","0%",801
"ING. JANA ROUNOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","100%","100%",802
"ING. MILAN ŘIHÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","55","0%","100%",803
"VOJTĚCH ŠKAROUPKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","63","0%","0%",804
"FRANTIŠEK PLAČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","58","0%","0%",805
"JAROSLAV BOUCNÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","0%","0%",806
"MGR. ALŽBĚTA BOUCNÍKOVÁ DIS., NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","27","100%","100%",807
"MIROSLAV KOLLMANN, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","0%",808
"JIŘÍ SAMEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","35","0%","0%",809
"DANIEL VJATER, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","0%","0%",810
