"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KAREL KLÍMA","1/7","0",1,"0","42","0%","0%",801
"MARTIN FOUSEK","1/7","0",1,"0","44","0%","0%",802
"MGR. MARTA JOCHOVÁ","1/7","0",0,"0","29","100%","100%",803
"MARIE HORÁČKOVÁ","1/7","0",0,"0","45","100%","0%",804
"ING. ČESTMÍRA ŘEZANINOVÁ","1/7","0",0,"0","41","100%","100%",805
"ING. DANIEL VENTRUBA","1/7","0",0,"0","42","0%","100%",806
"MGR. VĚRA KROUTILOVÁ","1/7","0",1,"0","41","100%","100%",807
"VLADIMÍR ŠKODA","1/7","0",0,"0","43","0%","0%",808
"PETR BURIAN","1/7","0",0,"0","35","0%","0%",809
"JAN MOTYČKA","1/7","0",0,"0","46","0%","0%",810
"MICHAL JADRNÝ","1/7","0",0,"0","44","0%","0%",811
"PETR FRANTL","1/7","0",1,"0","43","0%","0%",812
"ING. MICHAL KLIMENT","1/7","0",1,"0","31","0%","100%",813
