"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ALENA KAŇKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","46","100%","0%",801
"PETRA HOMOLOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","29","100%","0%",802
"ROMAN ŠIMEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","35","0%","0%",803
"JIŘÍ MIKULA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",804
"MIROSLAV PEJŠA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","65","0%","0%",805
"RUDOLF VOBRUBA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","57","0%","0%",806
"ING. BLANKA CANDROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","42","100%","100%",807
"JANA VLASTNÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","36","100%","0%",808
"STANISLAV PAVLÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","57","0%","0%",809
"NADĚŽDA PĚKNICOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","54","100%","0%",810
"PETR DOSKOČIL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","37","0%","0%",811
"MUDR. JANA MIKULOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","100%","100%",812
"LUCIE NĚMEČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","22","100%","0%",813
"JAKUB FUČÍK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","22","0%","0%",814
