"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILAN KŘÍŽ","1/7","1",0,"0","46","0%","0%",801
"ZDEŇKA BRUSSMANNOVÁ","1/7","0",0,"0","53","100%","0%",802
"IVANA SOJKOVÁ","1/7","0",0,"0","39","100%","0%",803
"JOSEF HOLUB","1/7","0",0,"0","58","0%","0%",804
"KLÁRA MARTINOVÁ","1/7","0",0,"0","30","100%","0%",805
"JAN FREUDENREICH","1/7","0",0,"0","33","0%","0%",806
"MIROSLAV KUBÁT","1/7","0",0,"0","45","0%","0%",807
"KATEŘINA KRUPAUEROVÁ","1/7","0",0,"0","21","100%","0%",808
"MGR. ZDEŇKA VÁPENÍKOVÁ","1/7","1",0,"0","40","100%","100%",809
"JOSEF SKALA","1/7","0",0,"0","54","0%","0%",810
"ŠTĚPÁNKA TRBUŠKOVÁ","1/7","1",0,"0","53","100%","0%",811
"ALEŠ VELICH","1/7","0",0,"0","38","0%","0%",812
"DANA VELICHOVÁ","1/7","0",0,"0","31","100%","0%",813
"IRMA SOUČKOVÁ","1/7","1",0,"0","36","100%","0%",814
"MILAN ČECH","1/7","0",0,"0","40","0%","0%",815
