"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BOHUMIL HARUDA","1/7","0",1,"0","54","0%","0%",801
"JIŘÍ ČEKAL","1/7","0",1,"0","46","0%","0%",802
"JAROSLAV BARTOŇ","1/7","0",1,"0","54","0%","0%",803
"ANTONÍN KOSTKA","1/7","0",1,"0","36","0%","0%",804
"MARIAN BÍLÝ","1/7","0",0,"0","39","0%","0%",805
"JAN ČÍŽEK","1/7","0",0,"0","42","0%","0%",806
"JIŘÍ BERAN","1/7","0",1,"0","33","0%","0%",807
"JANA PULDOVÁ","1/7","0",0,"0","49","100%","0%",808
"JOSEF RYCHTAŘÍK","1/7","0",1,"0","45","0%","0%",809
"PAVEL SVÁROVSKÝ","1/7","0",1,"0","50","0%","0%",810
