"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MGR. DUŠAN VRABEC, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","38","0%","100%",801
"ALEŠ DUFEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","55","0%","0%",802
"ING. PETR JIRÁNEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","47","0%","100%",803
"MILOŠ MLEJNEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","47","0%","0%",804
"MARTIN DOLANSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","40","0%","0%",805
"LENKA CHRTKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","41","100%","0%",806
"LUDMILA LUKAVCOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","57","100%","0%",807
"JAROMÍR MILITKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","60","0%","0%",808
"MARTIN STRÁNSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","0%","0%",809
"ING. JOSEF BAROCHOVSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","36","0%","100%",810
"JOSEF BUBEN, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","27","0%","0%",811
"JOSEF HLAVÁČ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","59","0%","0%",812
"ING. HELENA BLÁHOVÁ ŠEMBEROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","100%","100%",813
