"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MIROSLAV SYROVÝ","1/7","0",1,"0","46","0%","0%",801
"PETR BUBEN","1/7","0",1,"0","49","0%","0%",802
"MONIKA PADRTKOVÁ","1/7","0",1,"0","45","100%","0%",803
"ING. MARTIN POČTÝNSKÝ","1/7","0",0,"0","28","0%","100%",804
"JIŘÍ HYLÁK","1/7","0",0,"0","44","0%","0%",805
"MICHAL KAPLAN","1/7","0",1,"0","42","0%","0%",806
"EDITA PEŇÁZOVÁ","1/7","0",0,"0","38","100%","0%",807
"LUBOŠ ZEMAN","1/7","0",1,"0","50","0%","0%",808
"ŠTĚPÁNKA DRÁBKOVÁ","1/7","0",1,"0","42","100%","0%",809
"ING. JIŘÍ DRÁBEK","1/7","0",1,"0","49","0%","100%",810
