"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KOMUNISTICKÁ STRANA ČECH A MORAVY","4/7","0",0,"0","44,8","25%","0%",47
"LENKA DĚDICOVÁ","1/7","0",1,"0","56","100%","0%",801
"MARIE DVOŘÁKOVÁ","1/7","0",1,"0","54","100%","0%",802
"MARTIN HUNAL","1/7","0",0,"0","45","0%","0%",803
"VLADISLAV POTĚŠIL","1/7","0",1,"0","55","0%","0%",804
"JANA SKALOVÁ","1/7","0",0,"0","23","100%","100%",805
"MARTIN VACKE","1/7","0",1,"0","38","0%","0%",806
"TOMÁŠ DĚDIC","1/7","0",0,"0","31","0%","0%",807
"MARIE MARKOVÁ","1/7","0",1,"0","45","100%","0%",808
"IVANKA BUŠOVÁ","1/7","0",0,"0","37","100%","0%",809
