"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MIROSLAV TICHÝ","1/7","1",0,"0","57","0%","0%",801
"JOSEF SOUČEK","1/7","0",0,"0","47","0%","0%",802
"PETR KOCOUREK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","47","0%","0%",803
"PHDR. JANA HOVORKOVÁ","1/7","0",0,"0","57","100%","100%",804
"ING. JOSEF HERTL","1/7","0",1,"0","54","0%","100%",805
"ZDENĚK PAZDERKA","1/7","1",0,"0","40","0%","0%",806
"JIŘÍ BÁRTA","1/7","0",0,"0","41","0%","0%",807
"ING. VLASTIMIL ČECH","1/7","0",0,"0","51","0%","100%",808
"LADISLAV VENC","1/7","1",0,"0","61","0%","0%",809
"PETR VENC","1/7","0",0,"0","44","0%","0%",810
"JAKUB PLESL","1/7","0",0,"0","24","0%","0%",811
