"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ PRO OBEC BÝKOVICE","7/7","44,3","57%","29%","2",0,901
"NEZÁVISLÝ PRO BÝKOVICE","7/7","38,7","14%","43%","5",0,902
