"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"PAVEL KROUTIL","1/7","43","0%","0%","1",0,801
"VÁCLAV HYKYŠ","1/7","43","0%","0%","0",0,802
"ING. KAREL KOUKOLÍČEK","1/7","75","0%","100%","1",0,803
"JANA VĚTROVSKÁ","1/7","41","0%","0%","1",0,804
"PAVLÍNA JÁRKOVÁ","1/7","29","0%","0%","1",0,805
"DAVID KYNCL","1/7","36","0%","0%","1",0,806
"JANA BÍLÁ","1/7","28","0%","0%","1",0,807
"VILÉM URBAN","1/7","58","0%","0%","0",0,808
"ZBYNĚK RYDVÁN","1/7","40","0%","0%","1",0,809
"MILAN DROBNÝ","1/7","33","0%","0%","0",0,810
"JOSEF HOLAS","1/7","63","0%","0%","0",0,811
"MIROSLAV HOLUB","1/7","40","0%","0%","0",0,812
