"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"LUDĚK OBRTEL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","0%",801
"DANA RUMPÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","51","100%","0%",802
"JAROSLAV HORÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","40","0%","0%",803
"ING. JOSEF PELIKÁN, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","55","0%","100%",804
"LADISLAV LAKOMÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","54","0%","0%",805
"ALEXANDER PITÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","54","0%","0%",806
"JAN MATOUŠEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","29","0%","0%",807
"VILÉM LANGMAIER, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","62","0%","0%",808
"JOSEF MLYNÁŘ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","74","0%","0%",809
"MAREK KUBALÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",810
"ALENA KUČEROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","57","100%","0%",811
"ZDENĚK VITÁSEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","54","0%","0%",812
