"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILOŠ MOTLÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","71","0%","0%",801
"MIROSLAV DOBROZEMSKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",802
"DANIEL KLIKA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","0%","0%",803
"VÁCLAV OKROUHLICKÝ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","63","0%","0%",804
"BLANKA VALENTOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","60","100%","0%",805
"JAROMÍR PELÁNEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","65","0%","0%",806
"VERONIKA DVOŘÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","100%","0%",807
"PETR LAJBNER, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","54","0%","0%",808
"JAROSLAV KAREL, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","59","0%","0%",809
"FRANTIŠEK VÍTEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","60","0%","0%",810
"PAVEL PRCHLÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","38","0%","0%",811
"ROMAN OKROUHLICKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",812
"MILAN BARTOŇ ML., NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","28","0%","0%",813
"MARTIN KORBEL, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",814
"MONIKA DVOŘÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","35","100%","0%",815
