"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV BROŽ","1/7","0",1,"0","41","0%","0%",801
"PAVEL KRANDA","1/7","0",0,"0","38","0%","0%",802
"ZDENĚK VLK","1/7","0",1,"0","51","0%","0%",803
"ROMAN BROŽ","1/7","0",0,"0","38","0%","0%",804
"VLADISLAVA NOVÁČKOVÁ","1/7","0",0,"0","39","100%","100%",805
"JAN BROŽ","1/7","0",1,"0","40","0%","0%",806
"LUDĚK KŮRKA","1/7","0",0,"0","29","0%","0%",807
"ROSTISLAV FOUS","1/7","0",0,"0","36","0%","0%",808
"JOSEF NOVOTNÝ","1/7","0",0,"0","68","0%","0%",809
"JIŘÍ ŠLECHTA","1/7","0",1,"0","53","0%","0%",810
"JAN PIKL","1/7","0",1,"0","50","0%","0%",811
"ONDŘEJ ŠALÁTA","1/7","0",0,"0","34","0%","0%",812
"VRATISLAV KAČER","1/7","0",1,"0","38","0%","0%",813
"JANA SYROVÁ","1/7","0",0,"0","34","100%","100%",814
"MAREK NOVOTNÝ","1/7","0",0,"0","41","0%","0%",815
"ZDENĚK MIKEŠ","1/7","0",1,"0","43","0%","0%",816
