"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BC. GABRIELA HORČÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","41","100%","100%",801
"DAVID BUREŠ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","0%","0%",802
"EVA VÁVROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","42","100%","0%",803
"MONIKA HÉDLOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","26","100%","0%",804
"PAVEL FRYČ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","0%","0%",805
"LUCIE MEDŘÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","33","100%","0%",806
"RENÁTA DI PINTO, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","0%","0%",807
"MARCELA ŠÍPOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","46","100%","0%",808
"LUCIE VAŠÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","36","100%","0%",809
"VLADIMÍR ANDRLÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","58","0%","0%",810
"JOSEF POHANKA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","49","0%","0%",811
"VLADIMÍR PODAŘIL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",812
"KAMIL MICHALČÁK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","38","0%","0%",813
