"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JOSEF VENCL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","36","0%","0%",801
"BOHUMIL VALACH, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","66","0%","0%",802
"ING. JAROSLAV POKORNÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","67","0%","100%",803
"JIŘÍ ŽABKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","48","0%","0%",804
"MGR. MARIE ŠULCKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","56","100%","100%",805
"JIŘÍ MALÝ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","61","0%","0%",806
"MGR. MARTIN HALÍŘ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","100%",807
"ING. PETR KRČMÁŘ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","48","0%","100%",808
"TOMÁŠ BLECHA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","35","0%","0%",809
"PETR VALACH, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","42","0%","0%",810
"MGR. DOMINIKA KRÁTKÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","30","100%","100%",811
"MIROSLAV KOUDELA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","47","0%","0%",812
