"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILOŠ HABÁN","1/7","0",1,"0","27","0%","0%",801
"VILEMÍNA MUSILOVÁ","1/7","0",0,"0","57","100%","0%",802
"PAVEL CHYLÍK","1/7","0",1,"0","35","0%","0%",803
"ING. JIŘÍ VOTOUPAL","1/7","0",1,"0","60","0%","100%",804
"RADEK JEŘÁBEK","1/7","0",0,"0","27","0%","0%",805
"LADISLAV MATOUŠEK","1/7","0",1,"0","41","0%","0%",806
"MILOSLAVA JEŘÁBKOVÁ","1/7","0",0,"0","52","100%","0%",807
"MARTIN JEŘÁBEK","1/7","0",1,"0","41","0%","0%",808
"VLADIMÍR TULIS","1/7","0",1,"0","49","0%","0%",809
"LIBOR BERČÍK","1/7","0",1,"0","34","0%","0%",810
