"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BC. JIŘÍ SAMEC, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","34","0%","100%",801
"MARCELA DOUCHOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","43","100%","0%",802
"MARIE DVOŘÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","66","100%","0%",803
"VOJTĚCH PROKEŠ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","70","0%","0%",804
"MIROSLAV ŠKODA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",805
"RADEK ELIÁŠ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",806
"MGR. VÁCLAV BEJBLÍK, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","38","0%","100%",807
"PAVEL TOČÍK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","47","0%","0%",808
"MILOSLAV NOVOTNÝ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","64","0%","0%",809
"MUDR. VÁCLAV BEJBLÍK, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","61","0%","100%",810
"MGR. PETRA KARPÍŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","32","100%","100%",811
