"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BC. JANA KAŠÍKOVÁ, DIS., NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","23","100%","100%",801
"MILOŠ HOFMAN, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","50","0%","0%",802
"PETR TOMÁNEK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","44","0%","0%",803
"PETR MACH, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","36","0%","0%",804
"ING. TOMÁŠ BERGER, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","27","0%","100%",805
"ING. MARTIN MITLÖHNER, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","32","0%","100%",806
"MGR. JANA KUČEROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","100%","100%",807
"PAVEL PROVAZNÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","37","0%","0%",808
"MARTINA VORLÍČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","39","100%","0%",809
"ING. JAROSLAV MIKULE, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","44","0%","100%",810
"BC. PETRA FEJFAROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","32","100%","100%",811
"MILAN ZAPADLO, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",812
"MILAN PLECHÁČ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","47","0%","0%",813
"MARTIN KUBÁNEK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",814
