"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"HANA KUDRNÁČOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","58","100%","0%",801
"MICHAL VÁŇA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","36","0%","0%",802
"VLADIMÍRA SAMKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","53","100%","0%",803
"EVA KOPALOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","46","100%","0%",804
"JOSEF NEDOŠETKO ML., NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","19","0%","0%",805
"MILAN HANZL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","39","0%","0%",806
"NADĚŽDA KUDRNÁČOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","55","100%","0%",807
"RADEK KOŤÁTKO, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","36","0%","0%",808
"TOMÁŠ BUDINSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","0%",809
"TOMÁŠ PATOČKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","0%","0%",810
