"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"FRANTIŠEK DUFEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","55","0%","0%",801
"JAN CINK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","57","0%","0%",802
"ING. DANA HRŮZOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","100%","100%",803
"PETR SVOBODA, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","0%","0%",804
"JOSEF BĚHAL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","56","0%","0%",805
"BOHUMÍR HRŮZA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","67","0%","0%",806
"JOSEF ŠIMEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","35","0%","0%",807
"VLASTIMIL TLAČBABA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","50","0%","0%",808
"MARTA SURKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","50","100%","0%",809
"NEZÁVISLÍ KANDIDÁTI","3/7","0",3,"0","39","0%","0%",901
