"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. JIŘÍ VAŇHARA","1/7","1",0,"0","55","0%","100%",801
"LADISLAV KALINA","1/7","0",0,"0","42","0%","0%",802
"MGR. ŠÁRKA ŠMEJKALOVÁ","1/7","0",0,"0","35","100%","100%",803
"TOMÁŠ SEIFERT - NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","46","0%","0%",804
"MIROSLAV ŠTRÉBL","1/7","1",0,"0","59","0%","0%",805
"MAREK ŠTOB","1/7","1",0,"0","38","0%","0%",806
"LENKA HLAVÁČKOVÁ","1/7","1",0,"0","41","100%","0%",807
"JANA VESELÁ","1/7","0",0,"0","40","100%","0%",808
"JAN RAAB","1/7","1",0,"0","52","0%","0%",809
"FRANTIŠEK SÍLA","1/7","0",0,"0","67","0%","0%",810
"EVA IVANOVA","1/7","0",0,"0","43","0%","0%",811
"DAVID BUDINKA","1/7","1",0,"0","44","0%","0%",812
