"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. JAROSLAV VACEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","68","0%","100%",801
"PETR SEDLÁČEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",802
"JIŘÍ TOPIČ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","57","0%","0%",803
"MIROSLAV SMOLÁK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","25","0%","0%",804
"OLGA VOSTOUPALOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","100%","0%",805
"ANTONÍN KLEINER, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","52","0%","0%",806
"JITKA ŽĎÁRSKÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","42","100%","0%",807
"JIŘÍ ŘÍHA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","45","0%","0%",808
"JAROSLAV VRBA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","78","0%","0%",809
"MILAN JÍROVEC, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","39","0%","0%",810
"ZDEŇKA NOVOTNÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","60","100%","0%",811
"FRANTIŠEK PŘIBYL, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","46","0%","0%",812
"JANA HUBÁČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","43","100%","0%",813
