"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"SMRČEK RADOVAN, NEZÁVISLÝ KANDIDÁT","1/7","62","0%","0%","0",0,801
"MAZÁNEK MIROSLAV, NEZÁVISLÝ KANDIDÁT","1/7","59","0%","0%","1",0,802
"MGR. ZDENĚK MRKVIČKA, NEZÁVISLÝ KANDIDÁT","1/7","54","0%","100%","1",0,803
"BOROVIČKOVÁ VĚRA, NEZÁVISLÝ KANDIDÁT","1/7","77","100%","0%","1",0,804
"ONDRÁK PETR, NEZÁVISLÝ KANDIDÁT","1/7","50","0%","0%","1",0,805
"HAVRDA PETR, NEZÁVISLÝ KANDIDÁT","1/7","48","0%","0%","1",0,806
"BRADNA PAVEL, NEZÁVISLÝ KANDIDÁT","1/7","39","0%","0%","0",0,807
"ING. MAZÁNEK JIŘÍ, NEZÁVISLÝ KANDIDÁT","1/7","44","0%","100%","1",0,808
"BRADNOVÁ JANA, NEZÁVISLÝ KANDIDÁT","1/7","38","100%","0%","0",0,809
