"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV RAZÝM, NEZÁVISLÝ KANDIDÁT","1/5","0",1,"0","36","0%","0%",801
"JAROSLAV SALAČ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","26","0%","0%",802
"VĚRA PREPLETANÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","55","100%","0%",803
"LENKA HANUŠOVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","52","100%","0%",804
"LUCIE BYSTRIANSKÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",1,"0","34","100%","0%",805
"VERONIKA NYTROVÁ FIALOVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","30","100%","0%",806
"FRANTIŠEK KŘÍŽEK, NEZÁVISLÝ KANDIDÁT","1/5","0",1,"0","57","0%","0%",807
"PAVLA ŠPERLINGOVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","56","100%","0%",808
"ALENA ORTCIKROVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","20","100%","0%",809
"LENKA LIPRTOVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","41","100%","0%",810
"ISABELA KRUŽÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/5","0",0,"0","46","100%","0%",811
