"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. MILOŠ ČISTÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","60","0%","100%",801
"LADISLAV PRECLÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","57","0%","0%",802
"ROMANA REMSOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","100%","0%",803
"ING. PAVEL HORÁK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","52","0%","100%",804
"BOŽETĚCH DINKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","44","0%","0%",805
"TOMÁŠ KUNSTA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",806
"ING. JIŘÍ VAVŘINKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","0%","100%",807
"RADEK SLEZÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","0%",808
"ZDENĚK JANDA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","48","0%","0%",809
"ING. VÁCLAV VAVŘINKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","50","0%","100%",810
"HELENA KLOSOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","49","100%","0%",811
