"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAN VEJMELKA","1/7","0",0,"0","26","0%","0%",801
"JAN PAVLÍČEK","1/7","0",1,"0","60","0%","0%",802
"JITKA HORTOVÁ","1/7","0",1,"0","50","100%","0%",803
"JIŘÍ MRŇA","1/7","0",1,"0","48","0%","0%",804
"PETR ZELNÍČEK","1/7","0",1,"0","41","0%","0%",805
"DANA KOUTNÁ","1/7","0",0,"0","57","100%","0%",806
"MILOSLAV HÁJEK","1/7","0",0,"0","45","0%","0%",807
"ZUZANA SUCHÁNKOVÁ","1/7","0",0,"0","33","100%","0%",808
"ING. PETR SUCHÁNEK","1/7","0",0,"0","35","0%","100%",809
"IVAN VEJMELKA","1/7","0",0,"0","32","0%","0%",810
"KAREL BLAŽEK","1/7","0",0,"0","44","0%","0%",811
