"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"VÁCLAV FUČÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","39","0%","0%",801
"MARTINA DVOŘÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","31","100%","0%",802
"TOMÁŠ JANŮ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","31","0%","0%",803
"MGR. RADKA MARŠÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","100%","100%",804
"JAN VÁCHA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","57","0%","0%",805
"MARIE HRUŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","50","100%","0%",806
"MARTIN MAZANEC, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","41","0%","0%",807
"LADISLAV SVAČINA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","58","0%","0%",808
"JOSEF JŮZA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","51","0%","0%",809
"MONIKA PETRŮ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",810
"VLADIMÍRA HLADÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","53","100%","0%",811
"MILENA BARTÁČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","100%","0%",812
"HANA FILIPOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","40","100%","0%",813
"DAVID JORDÁK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","33","0%","0%",814
"VLADIMÍR JŮZA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",815
"MARIE VÁCHOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","56","100%","0%",816
