"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"ŠÁRKA ŠULCOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","39","100%","0%","0",0,801
"PETR STRNAD, NEZÁVISLÝ KANDIDÁT","1/9","39","0%","0%","1",0,802
"TOMÁŠ KOCOUREK, NEZÁVISLÝ KANDIDÁT","1/9","40","0%","0%","0",0,803
"KATEŘINA KOSINKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","35","100%","0%","1",0,804
"MAREK JIROUŠEK, NEZÁVISLÝ KANDIDÁT","1/9","37","0%","0%","0",0,805
"ING. LUKÁŠ KOSINKA, NEZÁVISLÝ KANDIDÁT","1/9","30","0%","100%","1",0,806
"JOSEF VAVRINEC, NEZÁVISLÝ KANDIDÁT","1/9","56","0%","0%","0",0,807
"BRONISLAV ZAJÍC, NEZÁVISLÝ KANDIDÁT","1/9","50","0%","0%","0",0,808
"MIROSLAV BŮŽEK, NEZÁVISLÝ KANDIDÁT","1/9","42","0%","0%","1",0,809
"IVANA JIROUŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","35","100%","0%","0",0,810
"ALEŠ DONÁT, NEZÁVISLÝ KANDIDÁT","1/9","41","0%","0%","1",0,811
"VĚRA ROSOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","46","100%","0%","0",0,812
"PETR ROSA, NEZÁVISLÝ KANDIDÁT","1/9","44","0%","0%","1",0,813
"PETR SEDLÁČEK, NEZÁVISLÝ KANDIDÁT","1/9","31","0%","0%","0",0,814
