"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MIROSLAV ČASAR, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","56","0%","0%",801
"VOJTĚCH VONDRA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","24","0%","0%",802
"STANISLAV ADAMEC, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","39","0%","0%",803
"PAVEL VESELSKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","36","0%","0%",804
"LUCIE LUKŠÍČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","45","100%","0%",805
"JIŘÍ ČASAR, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","28","0%","0%",806
"ROMANA ŽATEČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","39","100%","0%",807
"ONDŘEJ KORDOVSKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","32","0%","100%",808
"PAVEL KAVECKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","46","0%","0%",809
"MILOSLAV MICHALÍČEK, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","42","0%","0%",810
