"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"ANTONÍN KAMENICKÝ","1/5","44","0%","0%","0",0,801
"ANTONÍN PACÍK","1/5","52","0%","0%","0",0,802
"BLANKA FUČÍKOVÁ","1/5","45","100%","0%","0",0,803
"JAKUB PACÍK","1/5","22","0%","0%","0",0,804
"JAN PACÍK","1/5","27","0%","0%","1",0,805
"JARMILA NASTIŠINOVÁ","1/5","65","100%","0%","0",0,806
"MARCELA SOBOTKOVÁ","1/5","46","100%","0%","1",0,807
"MARIE KUČEROVÁ","1/5","19","100%","0%","0",0,808
"MICHAELA DÚCKÁ","1/5","39","100%","0%","0",0,809
"MIROSLAV SLABÝ","1/5","27","0%","0%","0",0,810
"PETR PEŠEK","1/5","39","0%","0%","0",0,811
"RADEK KOŇAŘÍK","1/5","30","0%","0%","0",0,812
"RENATA HORÁKOVÁ","1/5","44","100%","0%","1",0,813
"NEZÁVISLÍ ZA KŘÍDLŮVKY","6/5","40,7","33%","0%","2",0,901
