"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KOMUNISTICKÁ STRANA ČECH A MORAVY","1/7","0",0,"0","35","100%","100%",47
"MICHAL MÍCHAL","1/7","0",1,"0","25","0%","0%",801
"DANA PECOVÁ","1/7","0",0,"0","32","100%","0%",802
"MONIKA ROSIČKOVÁ","1/7","0",0,"0","41","100%","0%",803
"MARIE RYCHNOVSKÁ","1/7","0",1,"0","68","100%","0%",804
"JOSEF URBÁNEK","1/7","0",0,"0","71","0%","0%",805
"JAN PECA","1/7","0",1,"0","38","0%","0%",806
"JAROSLAVA PIPKOVÁ","1/7","0",1,"0","38","100%","0%",807
"VLASTA DLOUHÁ","1/7","0",0,"0","57","100%","0%",808
"JANA ŠULCOVÁ","1/7","0",0,"0","56","100%","0%",809
"RADEK ŠULC","1/7","0",0,"0","33","0%","0%",810
"JAN JUNEK","1/7","0",1,"0","33","0%","0%",811
