"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JINDŘIŠKA PETRŮ","1/7","51","0%","0%","1",0,801
"VÁCLAV ŽELEZNÝ","1/7","47","0%","0%","1",0,802
"LIBOR ŤOUPALÍK","1/7","40","0%","0%","1",0,803
"ING. PAVEL VOLAVKA","1/7","50","0%","100%","1",0,804
"JANA DIVIŠOVÁ","1/7","40","100%","0%","1",0,805
"RADEK SOBOTKA","1/7","37","0%","0%","1",0,806
"FRANTIŠEK KREJČÍ","1/7","50","0%","0%","0",0,807
"STANISLAV HOLÍK","1/7","40","0%","0%","1",0,808
"STANISLAV BESEDA","1/7","37","0%","0%","0",0,809
"STANISLAV BESEDA","1/7","61","0%","0%","0",0,810
