"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"LUBOŠ HRUŠKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","22","0%","0%",801
"JAN DOUDA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","60","0%","0%",802
"HANA ŠESTÁKOVÁ ŠIMKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","55","100%","0%",803
"ZUZANA BLAŽKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","100%","0%",804
"LENKA BARTÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","41","100%","0%",805
"JAN MÁŠEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","0%",806
"BOHUMIL MATOUŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","0%","0%",807
"JOSEF HRUŠKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","55","0%","0%",808
"MILOŠ ŠILAR, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","58","0%","0%",809
"LUCIE ČAMKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","33","100%","0%",810
