"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROMÍR BUCHAR, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","60","0%","0%",801
"LADISLAV PRŠALA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","51","0%","0%",802
"JIŘÍ SEDLÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","49","0%","0%",803
"IVETA JERIOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","28","100%","0%",804
"BC. LENKA KUŽELOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","37","100%","100%",805
"MGR. LUCIE KAŠIČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","100%","100%",806
"ŠTĚPÁN DEJMEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","34","0%","0%",807
"IVANA HORÁČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","48","100%","0%",808
"MGR. ONDŘEJ ŠÍR, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","28","0%","100%",809
"JINDŘICH VANCL, DIS., NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","33","0%","100%",810
