"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","1/7","0",0,"0","45","0%","100%",7
"ADOLF RABAS","1/7","0",0,"0","43","0%","0%",801
"BOHUSLAV KUČERA","1/7","0",0,"0","61","0%","0%",802
"HANA KUBÍNOVÁ","1/7","0",0,"0","58","100%","0%",803
"JAKUB ŠMÍD","1/7","0",0,"0","38","0%","0%",804
"JOSEF UJEC","1/7","0",0,"0","58","0%","0%",805
"KLÁRA PODANÁ","1/7","0",0,"0","34","100%","0%",806
"LUCIE KUBYNCOVÁ","1/7","0",1,"0","35","100%","0%",807
"MIROSLAV PALATÁŠ","1/7","0",0,"0","51","0%","0%",808
"TOMÁŠ VÁVRA","1/7","0",0,"0","39","0%","0%",809
"VLADIMÍRA TESAŘOVÁ","1/7","0",0,"0","60","100%","0%",810
"BLANKA NOVOTNÁ","1/7","0",0,"0","60","100%","0%",811
