"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ALEŠ PETRÁK","1/13","0",1,"0","44","0%","100%",801
"MILAN HUPKA","1/13","0",1,"0","48","0%","100%",802
"VLADIMÍR KAŇKA","1/13","0",0,"0","25","0%","100%",803
"JAROSLAV MUSIL","1/13","0",0,"0","61","0%","0%",804
"SLÁVKA MATĚJKOVÁ","1/13","0",0,"0","55","100%","100%",805
"PETRA KEJVALOVÁ","1/13","0",0,"0","29","100%","100%",806
"JANA SIMANDLOVÁ","1/13","0",1,"0","50","100%","0%",807
"LUKÁŠ DANIEL","1/13","0",1,"0","32","0%","0%",808
"JIŘÍ DANIEL","1/13","0",0,"0","22","0%","0%",809
"JIŘÍ ŠEMORA","1/13","0",1,"0","46","0%","0%",810
"LENKA LACINOVÁ","1/13","0",1,"0","41","100%","0%",811
"MILENA JANDOVÁ","1/13","0",0,"0","68","100%","0%",812
"MICHAL FRYDRYŠEK","1/13","0",1,"0","37","0%","0%",813
"STANISLAV MÁCHA","1/13","0",0,"0","38","0%","0%",814
"MICHAL SVATOŠ","1/13","0",0,"0","27","0%","100%",815
"MILAN NEBESAŘ","1/13","0",1,"0","47","0%","0%",816
"JINDŘICH BÍBA","1/13","0",1,"0","45","0%","0%",817
"BOHUMÍR KOS","1/13","0",0,"0","28","0%","100%",818
"LADISLAV HRDLIČKA","1/13","0",0,"0","42","0%","0%",819
"VLADIMÍR KOTÝNEK","1/13","0",1,"0","50","0%","0%",820
"JIŘÍ VESELÝ","1/13","0",0,"0","26","0%","0%",821
"TOMÁŠ DANIEL","1/13","0",1,"0","27","0%","0%",822
"JITKA MATOUŠKOVÁ","1/13","0",0,"0","35","100%","0%",823
